Date,AAPL,^GSPC
2023-01-13,132.63308715820312,3999.090087890625
2023-01-17,133.7944793701172,3990.969970703125
2023-01-18,133.07598876953125,3928.860107421875
2023-01-19,133.13502502441406,3898.85009765625
2023-01-20,135.6940155029297,3972.610107421875
2023-01-23,138.8828582763672,4019.81005859375
2023-01-24,140.28045654296875,4016.949951171875
2023-01-25,139.6210479736328,4016.219970703125
2023-01-26,141.68788146972656,4060.429931640625
2023-01-27,143.62677001953125,4070.56005859375
2023-01-30,140.74305725097656,4017.77001953125
2023-01-31,142.0126495361328,4076.60009765625
2023-02-01,143.1346893310547,4119.2099609375
2023-02-02,148.43963623046875,4179.759765625
2023-02-03,152.06155395507812,4136.47998046875
2023-02-06,149.3352508544922,4111.080078125
2023-02-07,152.2091827392578,4164.0
2023-02-08,149.52224731445312,4117.85986328125
2023-02-09,148.4888153076172,4081.5
2023-02-10,148.8535614013672,4090.4599609375
2023-02-13,151.6529998779297,4137.2900390625
2023-02-14,151.0122833251953,4136.1298828125
2023-02-15,153.11183166503906,4147.60009765625
2023-02-16,151.5150146484375,4090.409912109375
2023-02-17,150.3715362548828,4079.090087890625
2023-02-21,146.3596649169922,3997.340087890625
2023-02-22,146.7835235595703,3991.050048828125
2023-02-23,147.26654052734375,4012.320068359375
2023-02-24,144.6149444580078,3970.0400390625
2023-02-27,145.8076629638672,3982.239990234375
2023-02-28,145.3049774169922,3970.14990234375
2023-03-01,143.23495483398438,3951.389892578125
2023-03-02,143.82638549804688,3981.35009765625
2023-03-03,148.8732452392578,4045.639892578125
2023-03-06,151.6332550048828,4048.419921875
2023-03-07,149.4351348876953,3986.3701171875
2023-03-08,150.6869659423828,3992.010009765625
2023-03-09,148.43954467773438,3918.320068359375
2023-03-10,146.3793487548828,3861.590087890625
2023-03-13,148.32127380371094,3855.760009765625
2023-03-14,150.41099548339844,3919.2900390625
2023-03-15,150.8052520751953,3891.929931640625
2023-03-16,153.62440490722656,3960.280029296875
2023-03-17,152.7865753173828,3916.639892578125
2023-03-20,155.15228271484375,3951.570068359375
